date,level,x,y,z
2023/02/28 14:01:09,logs_a,2.98,0.75,2.01677592869.573192
2023/02/28 14:01:09,logs_a,1.6,2.88,-1.591677592869.574512
2023/02/28 14:01:09,logs_a,4.94,7.56,2.251677592869.575406
2023/02/28 14:01:09,logs_a,2.04,5.91,-6.891677592869.576259
2023/02/28 14:01:09,logs_a,-0.4,12.63,2.541677592869.576998
2023/02/28 14:01:09,logs_a,1.32,10.0,3.011677592869.577743
2023/02/28 14:01:09,logs_a,-0.07,0.02,0.011677592869.672655
2023/02/28 14:01:09,logs_a,0.05,0.01,-0.051677592869.674075
2023/02/28 14:01:09,logs_a,3.16,1.12,0.351677592869.675192
2023/02/28 14:01:09,logs_a,3.37,0.96,0.791677592869.676200
2023/02/28 14:01:09,logs_a,4.94,7.57,2.181677592869.677147
2023/02/28 14:01:09,logs_a,2.04,5.52,-7.211677592869.678133
2023/02/28 14:01:09,logs_a,0.0,12.88,1.271677592869.679128
2023/02/28 14:01:09,logs_a,-9.79,7.91,5.211677592869.680209
2023/02/28 14:01:09,logs_a,-0.07,0.02,0.011677592869.769620
2023/02/28 14:01:09,logs_a,0.05,0.01,-0.051677592869.771322
2023/02/28 14:01:09,logs_a,4.94,7.59,2.131677592869.772993
2023/02/28 14:01:09,logs_a,2.04,5.51,-7.211677592869.774506
2023/02/28 14:01:09,logs_a,-1.79,6.34,-12.681677592869.775897
2023/02/28 14:01:09,logs_a,-0.07,0.02,0.011677592869.870274
2023/02/28 14:01:09,logs_a,0.05,0.01,-0.051677592869.871819
2023/02/28 14:01:09,logs_a,3.23,1.12,1.011677592869.873103
2023/02/28 14:01:09,logs_a,1.73,2.93,-1.421677592869.874134
2023/02/28 14:01:09,logs_a,4.94,7.59,2.141677592869.875072
2023/02/28 14:01:09,logs_a,2.04,5.05,-7.551677592869.875915
2023/02/28 14:01:09,logs_a,5.58,8.89,-0.231677592869.876868
2023/02/28 14:01:09,logs_a,1.97,5.22,8.91677592869.878027
2023/02/28 14:01:09,logs_a,-0.4,12.77,1.71677592869.879057
2023/02/28 14:01:09,logs_a,-9.37,8.95,4.211677592869.880247
2023/02/28 14:01:09,logs_a,-1.34,9.05,-10.941677592869.881742
2023/02/28 14:01:09,logs_a,-0.07,0.02,0.011677592869.969644
2023/02/28 14:01:09,logs_a,0.05,0.01,-0.051677592869.971359
2023/02/28 14:01:09,logs_a,3.32,0.84,0.91677592869.972667
2023/02/28 14:01:09,logs_a,3.21,0.27,1.751677592869.973793
2023/02/28 14:01:09,logs_a,1.72,2.31,-2.271677592869.974805
2023/02/28 14:01:09,logs_a,0.95,10.1,0.591677592869.975767
2023/02/28 14:01:09,logs_a,-0.4,12.74,1.621677592869.976678
2023/02/28 14:01:10,logs_a,-0.07,0.02,0.011677592870.071230
2023/02/28 14:01:10,logs_a,0.05,0.01,-0.051677592870.072703
2023/02/28 14:01:10,logs_a,3.23,1.35,0.661677592870.073576
2023/02/28 14:01:10,logs_a,3.11,1.18,1.591677592870.074336
2023/02/28 14:01:10,logs_a,1.61,2.03,-2.621677592870.075163
2023/02/28 14:01:10,logs_a,-0.4,12.73,1.261677592870.075944
2023/02/28 14:01:10,logs_a,-0.07,0.02,0.011677592870.170618
2023/02/28 14:01:10,logs_a,0.05,0.01,-0.051677592870.172298
2023/02/28 14:01:10,logs_a,3.21,0.93,0.751677592870.173573
