date,level,x,y,z
2023/03/01 00:06:15,logs_a,{},1677629175.9821506,{},[0.9, -3.19],{},[1.7, 8.71],{},[-0.07, -0.01],{},[0.0, 0.0],{}1677629175.982280
2023/03/01 00:06:16,logs_a,{},1677629176.0907617,{},[-3.19],{},[8.71],{},[-0.0],{},[0.0],{}1677629176.091024
2023/03/01 00:06:16,logs_a,{},1677629176.2522228,{},[-3.19],{},[8.71],{},[-0.03],{},[0.0],{}1677629176.252322
2023/03/01 00:06:16,logs_a,{},1677629176.3612943,{},[-3.19],{},[8.71],{},[-0.18],{},[0.0],{}1677629176.361393
2023/03/01 00:06:16,logs_a,{},1677629176.4678874,{},[-3.19],{},[8.71],{},[0.05],{},[0.0],{}1677629176.467984
2023/03/01 00:06:16,logs_a,{},1677629176.5770578,{},[-3.19],{},[8.71],{},[0.21],{},[0.0],{}1677629176.577148
2023/03/01 00:06:16,logs_a,{},1677629176.6850119,{},[-3.19],{},[8.71],{},[0.13],{},[0.0],{}1677629176.685143
2023/03/01 00:06:16,logs_a,{},1677629176.7939444,{},[-3.19],{},[8.71],{},[0.12],{},[0.0],{}1677629176.794043
2023/03/01 00:06:16,logs_a,{},1677629176.9606273,{},[-3.48],{},[8.6],{},[0.2],{},[0.0],{}1677629176.961386
2023/03/01 00:06:17,logs_a,{},1677629177.0721033,{},[-3.48],{},[8.6],{},[0.18],{},[0.0],{}1677629177.072219
2023/03/01 00:06:17,logs_a,{},1677629177.1826003,{},[-3.19],{},[8.71],{},[0.25],{},[0.0],{}1677629177.182723
2023/03/01 00:06:17,logs_a,{},1677629177.293017,{},[-3.19],{},[8.71],{},[-0.02],{},[0.0],{}1677629177.293133
2023/03/01 00:06:17,logs_a,{},1677629177.454296,{},[-3.19],{},[8.71],{},[0.14],{},[0.0],{}1677629177.455112
2023/03/01 00:06:17,logs_a,{},1677629177.5638177,{},[-3.19],{},[8.71],{},[-0.04],{},[0.0],{}1677629177.563939
2023/03/01 00:06:17,logs_a,{},1677629177.6747813,{},[0.9, -3.19],{},[1.7, 8.71],{},[-0.04, -0.06],{},[0.0, 0.0],{}1677629177.674873
2023/03/01 00:06:17,logs_a,{},1677629177.7854474,{},[-3.19],{},[8.71],{},[-0.06],{},[0.0],{}1677629177.785553
2023/03/01 00:06:17,logs_a,{},1677629177.8990247,{},[0.85, -3.19],{},[1.76, 8.71],{},[-0.04, 0.07],{},[0.0, 0.0],{}1677629177.899127
2023/03/01 00:06:18,logs_a,{},1677629178.0610118,{},[-3.19],{},[8.71],{},[0.05],{},[0.0],{}1677629178.061115
2023/03/01 00:06:18,logs_a,{},1677629178.172215,{},[-3.19],{},[8.71],{},[0.06],{},[0.0],{}1677629178.172312
2023/03/01 00:06:18,logs_a,{},1677629178.283581,{},[-3.48],{},[8.6],{},[0.14],{},[0.0],{}1677629178.283690
2023/03/01 00:06:18,logs_a,{},1677629178.393916,{},[-3.19],{},[8.71],{},[0.35],{},[0.0],{}1677629178.394014
2023/03/01 00:06:18,logs_a,{},1677629178.5582047,{},[-3.19],{},[8.71],{},[-0.2],{},[0.0],{}1677629178.558967
2023/03/01 00:06:18,logs_a,{},1677629178.6753306,{},[-3.19],{},[8.71],{},[-0.05],{},[0.0],{}1677629178.675436
2023/03/01 00:06:18,logs_a,{},1677629178.7906678,{},[-3.19],{},[8.71],{},[0.16],{},[0.0],{}1677629178.790763
2023/03/01 00:06:18,logs_a,{},1677629178.9528587,{},[-3.48],{},[8.6],{},[-0.11],{},[0.0],{}1677629178.952950
2023/03/01 00:06:19,logs_a,{},1677629179.0594795,{},[-3.19],{},[8.71],{},[-0.12],{},[0.0],{}1677629179.059568
2023/03/01 00:06:19,logs_a,{},1677629179.1680524,{},[-3.19],{},[8.71],{},[-0.11],{},[0.0],{}1677629179.168144
2023/03/01 00:06:19,logs_a,{},1677629179.2778862,{},[-3.19],{},[8.71],{},[-0.04],{},[0.0],{}1677629179.277998
2023/03/01 00:06:19,logs_a,{},1677629179.386969,{},[-3.48],{},[8.6],{},[0.16],{},[0.0],{}1677629179.387083
2023/03/01 00:06:19,logs_a,{},1677629179.4980721,{},[-3.19],{},[8.71],{},[-0.04],{},[0.0],{}1677629179.498187
2023/03/01 00:06:19,logs_a,{},1677629179.6733584,{},[-3.19],{},[8.71],{},[-0.14],{},[0.0],{}1677629179.673459
2023/03/01 00:06:19,logs_a,{},1677629179.7824848,{},[-3.48],{},[8.6],{},[0.13],{},[0.0],{}1677629179.782688
2023/03/01 00:06:19,logs_a,{},1677629179.892056,{},[-3.48],{},[8.6],{},[-0.1],{},[0.0],{}1677629179.892153
2023/03/01 00:06:20,logs_a,{},1677629180.0546417,{},[-3.48],{},[8.6],{},[-0.2],{},[0.0],{}1677629180.054751
2023/03/01 00:06:20,logs_a,{},1677629180.172861,{},[-3.48],{},[8.6],{},[0.03],{},[0.0],{}1677629180.172963
2023/03/01 00:06:20,logs_a,{},1677629180.2835104,{},[-3.48],{},[8.6],{},[-0.03],{},[0.0],{}1677629180.283602
2023/03/01 00:06:20,logs_a,{},1677629180.3940852,{},[-3.48],{},[8.6],{},[-0.32],{},[0.0],{}1677629180.394195
2023/03/01 00:06:20,logs_a,{},1677629180.5570908,{},[-3.48],{},[8.6],{},[-0.12],{},[0.0],{}1677629180.557187
2023/03/01 00:06:20,logs_a,{},1677629180.6673923,{},[-3.19],{},[8.71],{},[-0.09],{},[0.0],{}1677629180.667513
2023/03/01 00:06:20,logs_a,{},1677629180.7787118,{},[-3.19],{},[8.71],{},[-0.11],{},[0.0],{}1677629180.778939
2023/03/01 00:06:20,logs_a,{},1677629180.8933346,{},[-3.19],{},[8.71],{},[-0.15],{},[0.0],{}1677629180.893560
2023/03/01 00:06:21,logs_a,{},1677629181.0576894,{},[-3.19],{},[8.71],{},[0.07],{},[0.0],{}1677629181.058411
2023/03/01 00:06:21,logs_a,{},1677629181.1664808,{},[-3.19],{},[8.71],{},[-0.14],{},[0.0],{}1677629181.166598
2023/03/01 00:06:21,logs_a,{},1677629181.2761188,{},[-3.19],{},[8.7],{},[-0.53],{},[0.0],{}1677629181.276911
2023/03/01 00:06:21,logs_a,{},1677629181.3865378,{},[-3.19],{},[8.7],{},[-0.55],{},[0.0],{}1677629181.386663
2023/03/01 00:06:21,logs_a,{},1677629181.4983861,{},[-3.19],{},[8.71],{},[-0.16],{},[0.0],{}1677629181.498497
2023/03/01 00:06:21,logs_a,{},1677629181.678643,{},[-3.48],{},[8.6],{},[0.1],{},[0.0],{}1677629181.678742
2023/03/01 00:06:21,logs_a,{},1677629181.7894773,{},[0.9, -3.19],{},[1.7, 8.71],{},[0.02, -0.13],{},[0.0, 0.0],{}1677629181.789598
2023/03/01 00:06:21,logs_a,{},1677629181.9524138,{},[-3.19],{},[8.71],{},[0.03],{},[0.0],{}1677629181.953161
2023/03/01 00:06:22,logs_a,{},1677629182.060014,{},[-3.48],{},[8.6],{},[-0.09],{},[0.0],{}1677629182.060884
2023/03/01 00:06:22,logs_a,{},1677629182.1745014,{},[-3.19],{},[8.71],{},[0.07],{},[0.0],{}1677629182.175251
2023/03/01 00:06:22,logs_a,{},1677629182.284822,{},[-3.19],{},[8.71],{},[-0.09],{},[0.0],{}1677629182.284949
2023/03/01 00:06:22,logs_a,{},1677629182.3972738,{},[-3.19],{},[8.71],{},[0.03],{},[0.0],{}1677629182.397415
2023/03/01 00:06:22,logs_a,{},1677629182.5622535,{},[-3.19],{},[8.71],{},[-0.0],{},[0.0],{}1677629182.562375
2023/03/01 00:06:22,logs_a,{},1677629182.680575,{},[-3.19],{},[8.71],{},[-0.03],{},[0.0],{}1677629182.680718
2023/03/01 00:06:22,logs_a,{},1677629182.7956283,{},[-3.19],{},[8.71],{},[0.02],{},[0.0],{}1677629182.795732
2023/03/01 00:06:22,logs_a,{},1677629182.9568105,{},[-3.19],{},[8.71],{},[0.3],{},[0.0],{}1677629182.956905
2023/03/01 00:06:23,logs_a,{},1677629183.0636122,{},[-3.19],{},[8.7],{},[0.39],{},[0.0],{}1677629183.063701
